Model,MAE,RMSE,sMAPE,vs_Best_MAE_%,vs_Best_Model
SeasonalNaive,11.5901,30.5994,29.477,241.9,LightGBM
AutoARIMA,12.5326,34.1295,31.5902,269.7,LightGBM
MSTL,11.1574,24.0267,31.5247,229.1,LightGBM
LightGBM,3.3899,10.6421,9.0937,0.0,LightGBM
XGBoost,3.456,11.5544,9.1953,1.9,LightGBM
PatchTST,5.2659,15.1887,14.3817,55.3,LightGBM
iTransformer,6.0747,16.6489,16.9121,79.2,LightGBM
N-HiTS,5.0552,13.8144,14.0104,49.1,LightGBM
BiTCN,5.4056,14.7567,14.9825,59.5,LightGBM
TFT,7.0881,19.4202,19.8392,109.1,LightGBM
BiLSTM,3.6492,10.1127,10.9352,7.6,LightGBM
Chronos-Bolt,7.7747,21.5417,21.0548,129.3,LightGBM
QRF,3.6802,9.8769,10.9293,8.6,LightGBM
Ensemble,3.4432,10.3928,9.5417,1.6,LightGBM
