Model,MAE,RMSE,sMAPE,vs_Best_MAE_%,vs_Best_Model
SeasonalNaive,14.4488,29.2135,32.3477,259.6,XGBoost
AutoARIMA,12.762,24.9359,29.3237,217.6,XGBoost
MSTL,14.3998,24.9459,37.4236,258.4,XGBoost
LightGBM,4.0259,12.3214,8.5094,0.2,XGBoost
XGBoost,4.0183,12.5186,8.4597,0.0,XGBoost
PatchTST,6.6903,12.994,16.7041,66.5,XGBoost
iTransformer,7.4714,14.5672,18.7042,85.9,XGBoost
N-HiTS,6.7453,12.9556,17.0525,67.9,XGBoost
BiTCN,8.0196,16.194,19.4907,99.6,XGBoost
TFT,8.0073,15.4731,20.4373,99.3,XGBoost
BiLSTM,4.8399,10.103,11.5794,20.4,XGBoost
Chronos-Bolt,7.0174,13.076,17.6314,74.6,XGBoost
QRF,4.5452,12.2871,10.1218,13.1,XGBoost
Ensemble,4.9294,12.9818,10.1203,22.7,XGBoost
