Model,MAE,RMSE,sMAPE
BiLSTM,3.6416,8.7323,11.1555
N-HiTS,4.8343,13.7562,13.1982
PatchTST,5.0178,15.8133,13.4153
BiTCN,5.4056,14.7567,14.9825
iTransformer,5.5084,16.1154,14.7221
TFT,7.0881,19.4202,19.8392
Ensemble,7.4946,17.5842,20.969
LightGBM (rolling),7.5924,15.9789,
XGBoost (rolling),7.6157,15.8964,
QRF,7.6403,21.3338,21.0775
Chronos-Bolt,7.7747,21.5417,21.0548
Chronos-Bolt-Base,7.9643,22.0062,21.1768
XGBoost,8.4156,22.3408,22.4137
LightGBM,8.5518,22.3557,22.8941
MSTL,11.1574,24.0267,31.5247
SeasonalNaive,11.5901,30.5994,29.477
Chronos-Base+Cov,11.8424,28.273,34.1062
AutoARIMA,12.5326,34.1295,31.5902
