Model,MAE,RMSE,sMAPE
LightGBM (rolling),3.049,6.3964,
XGBoost (rolling),3.0911,6.4031,
Chronos-Base+Cov,3.4813,6.6484,8.6925
BiLSTM,4.7508,10.2523,11.3549
PatchTST,6.5219,12.8619,16.3361
N-HiTS,6.7097,13.1996,16.5253
Chronos-Bolt-Base,6.8533,12.7675,17.2087
Chronos-Bolt,7.0174,13.076,17.6314
iTransformer,7.1217,14.1785,17.3807
LightGBM,7.7103,17.1879,18.3535
XGBoost,7.904,17.6263,18.6574
TFT,8.0073,15.4731,20.4373
BiTCN,8.0196,16.194,19.4907
QRF,8.0696,18.3563,18.9119
Ensemble,8.9436,22.5647,15.0522
AutoARIMA,12.762,24.9359,29.3237
MSTL,14.3998,24.9459,37.4236
SeasonalNaive,14.4488,29.2135,32.3477
