Model,MAE,RMSE,sMAPE
SeasonalNaive,14.4488,29.2135,32.3477
AutoARIMA,12.762,24.9359,29.3237
MSTL,14.3998,24.9459,37.4236
LightGBM,7.7103,17.1879,18.3535
XGBoost,7.904,17.6263,18.6574
PatchTST,6.5219,12.8619,16.3361
iTransformer,7.1217,14.1785,17.3807
N-HiTS,6.7097,13.1996,16.5253
BiTCN,8.0196,16.194,19.4907
TFT,8.0073,15.4731,20.4373
BiLSTM,4.7508,10.2523,11.3549
Chronos-Bolt,7.0174,13.076,17.6314
QRF,8.0696,18.3563,18.9119
Ensemble (Stacking),6.2118,15.6262,12.1478
Ensemble (Mean),6.1643,14.5742,14.034
Ensemble (Median),7.4003,16.9038,17.3955
