Market,Regime,N_hours,Mean,Std,Min,Max,Skew,Kurt,Spike_pct>2sigma,Negative_pct
PJM,stable_baseline,8501,25.4,8.34,8.18,123.09,1.932,9.004,0.05,0.0
PJM,covid_collapse,9248,20.35,6.81,5.31,66.94,1.558,4.565,0.0,0.0
PJM,uri_crisis,644,43.02,29.61,18.04,169.76,2.293,5.044,9.32,0.0
PJM,gas_shock,15635,53.81,31.77,13.01,431.93,2.772,15.789,11.05,0.0
PJM,new_normal,25541,34.35,22.45,7.68,502.65,5.382,57.017,2.43,0.0
PJM,full_dataset,59597,36.1,25.42,5.31,502.65,3.86,29.704,4.05,0.0
ERCOT,stable_baseline,8737,38.5,68.92,2.58,1263.38,8.192,83.857,0.88,0.0
ERCOT,covid_collapse,9505,21.12,14.24,1.83,513.28,15.8,376.184,0.01,0.0
ERCOT,uri_crisis,649,192.04,830.12,-0.02,8996.02,7.132,58.508,7.24,0.15
ERCOT,gas_shock,16081,102.12,274.82,-0.12,3011.1,5.866,37.074,4.13,0.01
ERCOT,new_normal,26281,40.91,62.84,-3.96,1415.14,8.669,99.355,0.72,0.02
ERCOT,full_dataset,61345,55.25,175.3,-3.96,8996.02,15.249,417.976,1.6,0.01
