Market,Model,Quarter,N_hours,MAE,RMSE
ERCOT,LGBM,2024-Q1,2161,14.0745,35.0356
ERCOT,LGBM,2024-Q2,2161,5.9825,9.9522
ERCOT,LGBM,2024-Q3,2185,15.2071,43.2729
ERCOT,LGBM,2024-Q4,2185,6.587,16.5651
ERCOT,LGBM,2025-Q1,2137,6.6543,14.3193
ERCOT,LGBM,2025-Q2,2161,6.6073,9.1399
ERCOT,LGBM,2025-Q3,2185,6.764,11.7242
ERCOT,LGBM,2025-Q4,2185,6.6406,11.052
ERCOT,XGBOOST,2024-Q1,2161,13.5512,34.8069
ERCOT,XGBOOST,2024-Q2,2161,6.0651,9.8996
ERCOT,XGBOOST,2024-Q3,2185,15.3951,43.723
ERCOT,XGBOOST,2024-Q4,2185,6.4123,15.9563
ERCOT,XGBOOST,2025-Q1,2137,7.0588,14.7911
ERCOT,XGBOOST,2025-Q2,2161,6.294,8.7439
ERCOT,XGBOOST,2025-Q3,2185,5.9546,11.1158
ERCOT,XGBOOST,2025-Q4,2185,6.6566,10.9538
ERCOT,BILSTM,2024-Q1,2017,5.9725,17.3775
ERCOT,BILSTM,2024-Q2,2161,2.8436,4.6493
ERCOT,BILSTM,2024-Q3,2185,5.0697,15.1374
ERCOT,BILSTM,2024-Q4,2185,3.1464,6.7272
ERCOT,BILSTM,2025-Q1,2137,3.5222,7.3606
ERCOT,BILSTM,2025-Q2,2161,2.8716,4.1133
ERCOT,BILSTM,2025-Q3,2185,2.8893,4.8091
ERCOT,BILSTM,2025-Q4,2185,3.568,5.7593
ERCOT,Ensemble,2024-Q1,2017,6.0246,15.5969
ERCOT,Ensemble,2024-Q2,2161,3.3118,5.4281
ERCOT,Ensemble,2024-Q3,2185,6.0075,16.3971
ERCOT,Ensemble,2024-Q4,2185,3.5569,6.7454
ERCOT,Ensemble,2025-Q1,2137,3.7914,7.7
ERCOT,Ensemble,2025-Q2,2161,2.7763,3.8965
ERCOT,Ensemble,2025-Q3,2185,2.8684,4.7864
ERCOT,Ensemble,2025-Q4,2185,3.5603,5.5218
