Market,Model,Quarter,N_hours,MAE,RMSE
PJM,LGBM,2024-Q1,2114,3.1587,7.7886
PJM,LGBM,2024-Q2,2115,1.963,2.9309
PJM,LGBM,2024-Q3,2139,2.6576,5.9419
PJM,LGBM,2024-Q4,2139,3.0201,5.7117
PJM,LGBM,2025-Q1,2090,6.6903,19.0925
PJM,LGBM,2025-Q2,2115,4.6239,15.7113
PJM,LGBM,2025-Q3,2139,5.0981,19.6888
PJM,LGBM,2025-Q4,2139,5.0766,9.2212
PJM,XGBOOST,2024-Q1,2114,3.4088,8.8947
PJM,XGBOOST,2024-Q2,2115,1.9838,2.9364
PJM,XGBOOST,2024-Q3,2139,2.5291,5.7163
PJM,XGBOOST,2024-Q4,2139,3.0329,5.7351
PJM,XGBOOST,2025-Q1,2090,6.7894,19.6931
PJM,XGBOOST,2025-Q2,2115,4.556,15.5663
PJM,XGBOOST,2025-Q3,2139,4.902,19.7058
PJM,XGBOOST,2025-Q4,2139,5.0339,9.4457
PJM,BILSTM,2024-Q1,1954,3.5667,6.8743
PJM,BILSTM,2024-Q2,2115,2.9406,4.5332
PJM,BILSTM,2024-Q3,2139,3.6187,6.5028
PJM,BILSTM,2024-Q4,2139,3.9482,6.7639
PJM,BILSTM,2025-Q1,2090,6.6141,13.3138
PJM,BILSTM,2025-Q2,2115,5.4532,11.7174
PJM,BILSTM,2025-Q3,2139,6.4193,15.5238
PJM,BILSTM,2025-Q4,2139,6.301,10.505
PJM,Ensemble,2024-Q1,1954,4.0407,9.8854
PJM,Ensemble,2024-Q2,2115,2.4718,3.9528
PJM,Ensemble,2024-Q3,2139,3.4902,8.2462
PJM,Ensemble,2024-Q4,2139,3.3472,6.6228
PJM,Ensemble,2025-Q1,2090,7.2312,17.6464
PJM,Ensemble,2025-Q2,2115,4.8221,13.4959
PJM,Ensemble,2025-Q3,2139,6.5113,19.3872
PJM,Ensemble,2025-Q4,2139,7.5247,15.8874
