,Regime,Model,N_hours,MAE,RMSE,sMAPE
0,new_normal,SeasonalNaive,17545,11.5901,30.5994,29.477
1,new_normal,AutoARIMA,17545,12.5326,34.1295,31.5902
2,new_normal,MSTL,17545,11.1574,24.0267,31.5247
3,new_normal,PatchTST,17544,5.2659,15.1887,14.3817
4,new_normal,iTransformer,17544,6.0747,16.6489,16.9121
5,new_normal,N-HiTS,17544,5.0552,13.8144,14.0104
6,new_normal,BiTCN,17544,5.4056,14.7567,14.9825
7,new_normal,Chronos-Bolt,17544,7.7747,21.5417,21.0548
8,new_normal,QRF,17545,3.6802,9.8769,10.9293
9,new_normal,Ensemble,17377,3.4432,10.3928,9.5417
10,new_normal,LightGBM,17545,3.3899,10.6421,9.0937
11,new_normal,XGBoost,17545,3.456,11.5544,9.1953
12,new_normal,BiLSTM,17545,3.6492,10.1127,10.9352
13,Year_2024,SeasonalNaive,8784,14.5921,40.5063,34.8687
14,Year_2024,AutoARIMA,8784,15.9508,45.7913,37.0326
15,Year_2024,MSTL,8784,14.3286,31.3527,40.1601
16,Year_2024,PatchTST,8784,6.618,19.929,17.6147
17,Year_2024,iTransformer,8784,7.8338,21.9829,21.3481
18,Year_2024,N-HiTS,8784,6.1467,17.8226,16.8085
19,Year_2024,BiTCN,8784,6.5716,19.2708,17.8754
20,Year_2024,Chronos-Bolt,8784,9.5928,28.3869,24.9731
21,Year_2024,QRF,8784,4.2784,12.8264,12.6412
22,Year_2024,Ensemble,8640,4.1213,13.7027,11.1098
23,Year_2024,LightGBM,8784,4.1242,14.0634,10.6134
24,Year_2024,XGBoost,8784,4.1809,15.1859,10.7609
25,Year_2024,BiLSTM,8784,4.3896,13.2657,13.0289
26,Year_2025,SeasonalNaive,8737,8.5738,15.1639,24.0553
27,Year_2025,AutoARIMA,8737,9.1101,15.1874,26.1531
28,Year_2025,MSTL,8737,7.8938,12.7892,22.657
29,Year_2025,PatchTST,8737,3.9002,7.9701,11.1178
30,Year_2025,iTransformer,8737,4.3029,8.3894,12.448
31,Year_2025,N-HiTS,8737,3.9532,7.9685,11.1891
32,Year_2025,BiTCN,8737,4.2287,7.971,12.0649
33,Year_2025,Chronos-Bolt,8736,5.9435,11.0079,17.1093
34,Year_2025,QRF,8737,3.0762,5.5027,9.2026
35,Year_2025,Ensemble,8737,2.7727,5.3985,7.9909
36,Year_2025,LightGBM,8737,2.6493,5.3266,7.5626
37,Year_2025,XGBoost,8737,2.7264,6.0071,7.62
38,Year_2025,BiLSTM,8737,2.8998,5.3038,8.8201
39,Winter (DJF),SeasonalNaive,4345,13.0724,36.5686,30.2584
40,Winter (DJF),AutoARIMA,4345,13.7824,35.3087,31.9974
41,Winter (DJF),MSTL,4345,13.5674,29.9649,35.8774
42,Winter (DJF),PatchTST,4344,5.8679,15.5814,15.501
43,Winter (DJF),iTransformer,4344,6.9544,17.4828,19.001
44,Winter (DJF),N-HiTS,4344,5.4195,11.5727,15.2109
45,Winter (DJF),BiTCN,4344,6.2212,16.006,16.1644
46,Winter (DJF),Chronos-Bolt,4344,8.8824,25.3412,22.2855
47,Winter (DJF),QRF,4345,4.3937,11.5849,11.9536
48,Winter (DJF),Ensemble,4177,4.1227,12.5807,10.4628
49,Winter (DJF),LightGBM,4345,4.4172,13.2275,10.5228
50,Winter (DJF),XGBoost,4345,4.2334,13.3824,10.1764
51,Winter (DJF),BiLSTM,4345,4.4102,11.9519,12.2995
