,Regime,Model,N_hours,MAE,RMSE,sMAPE
0,new_normal,SeasonalNaive,17041,14.4488,29.2135,32.3477
1,new_normal,AutoARIMA,17041,12.762,24.9359,29.3237
2,new_normal,MSTL,17041,14.3998,24.9459,37.4236
3,new_normal,PatchTST,17040,6.5219,12.8619,16.3361
4,new_normal,iTransformer,17040,7.1217,14.1785,17.3807
5,new_normal,N-HiTS,17040,6.7097,13.1996,16.5253
6,new_normal,BiTCN,17040,8.0196,16.194,19.4907
7,new_normal,Chronos-Bolt,17040,7.0174,13.076,17.6314
8,new_normal,QRF,17041,8.0696,18.3563,18.9119
9,new_normal,Ensemble,16873,6.2118,15.6262,12.1478
10,new_normal,LightGBM,17041,7.7103,17.1879,18.3535
11,new_normal,XGBoost,17041,7.904,17.6263,18.6574
12,new_normal,BiLSTM,17041,4.7508,10.2523,11.3549
13,Year_2024,SeasonalNaive,8532,11.098,20.0342,31.9606
14,Year_2024,AutoARIMA,8532,9.1243,15.1996,28.553
15,Year_2024,MSTL,8532,10.1829,15.728,34.0517
16,Year_2024,PatchTST,8532,5.2736,9.7348,16.4974
17,Year_2024,iTransformer,8532,5.6553,10.3223,17.3969
18,Year_2024,N-HiTS,8532,5.4007,9.9866,16.576
19,Year_2024,BiTCN,8532,6.2842,12.2232,19.1845
20,Year_2024,Chronos-Bolt,8532,5.7274,9.8449,18.0262
21,Year_2024,QRF,8532,6.0863,12.0901,18.433
22,Year_2024,Ensemble,8372,3.5458,7.6594,10.419
23,Year_2024,LightGBM,8532,5.6877,10.4714,17.6464
24,Year_2024,XGBoost,8532,5.9345,11.3282,18.0081
25,Year_2024,BiLSTM,8532,3.2054,5.8128,9.9982
26,Year_2025,SeasonalNaive,8501,17.8232,36.1653,32.7551
27,Year_2025,AutoARIMA,8501,16.4228,31.8524,30.1157
28,Year_2025,MSTL,8501,18.6431,31.6096,40.8289
29,Year_2025,PatchTST,8501,7.7796,15.378,16.1845
30,Year_2025,iTransformer,8501,8.5984,17.2052,17.374
31,Year_2025,N-HiTS,8501,8.0287,15.7841,16.4858
32,Year_2025,BiTCN,8501,9.7672,19.3834,19.8109
33,Year_2025,Chronos-Bolt,8500,8.317,15.6676,17.2417
34,Year_2025,QRF,8501,10.0666,22.9946,19.4054
35,Year_2025,Ensemble,8501,8.8375,20.6609,13.8504
36,Year_2025,LightGBM,8501,9.7462,21.9579,19.0745
37,Year_2025,XGBoost,8501,9.8867,22.2261,19.3201
38,Year_2025,BiLSTM,8501,6.3057,13.2962,12.724
39,Winter (DJF),SeasonalNaive,4219,22.735,41.5666,41.1435
40,Winter (DJF),AutoARIMA,4219,21.0237,38.7964,36.3567
41,Winter (DJF),MSTL,4219,21.6994,37.0451,40.8942
42,Winter (DJF),PatchTST,4218,8.3872,16.9475,17.1777
43,Winter (DJF),iTransformer,4218,9.5123,18.712,19.1779
44,Winter (DJF),N-HiTS,4218,9.3117,19.2023,18.3242
45,Winter (DJF),BiTCN,4218,12.0293,24.6898,23.5726
46,Winter (DJF),Chronos-Bolt,4218,8.5723,15.3244,18.2262
47,Winter (DJF),QRF,4219,11.0805,24.3136,20.9728
48,Winter (DJF),Ensemble,4051,8.4021,18.9874,12.8228
49,Winter (DJF),LightGBM,4219,9.9811,22.0486,18.9173
50,Winter (DJF),XGBoost,4219,9.9447,22.0341,18.7939
51,Winter (DJF),BiLSTM,4219,5.7884,12.1391,11.0743
52,Spring (MAM),SeasonalNaive,4288,9.3324,13.997,29.2397
53,Spring (MAM),AutoARIMA,4288,8.6301,12.4943,27.2518
54,Spring (MAM),MSTL,4288,10.2362,14.1939,38.5479
55,Spring (MAM),PatchTST,4288,5.4486,8.2143,17.4748
56,Spring (MAM),iTransformer,4288,5.5402,8.3558,17.7575
57,Spring (MAM),N-HiTS,4288,5.4319,8.0729,17.5679
58,Spring (MAM),BiTCN,4288,5.8555,8.4904,19.1407
59,Spring (MAM),Chronos-Bolt,4288,5.6326,8.3313,18.1371
60,Spring (MAM),QRF,4288,5.8201,8.9278,18.7156
61,Spring (MAM),Ensemble,4288,4.3684,10.406,11.9046
62,Spring (MAM),LightGBM,4288,5.546,8.1411,18.0619
63,Spring (MAM),XGBoost,4288,5.5777,8.2984,18.068
64,Spring (MAM),BiLSTM,4288,3.8018,6.2473,11.8987
65,Summer (JJA),SeasonalNaive,4290,15.7418,35.4557,32.3509
66,Summer (JJA),AutoARIMA,4290,12.5402,25.7959,28.5757
67,Summer (JJA),MSTL,4290,14.7841,26.5393,34.4018
68,Summer (JJA),PatchTST,4290,6.3324,14.9083,14.4011
69,Summer (JJA),iTransformer,4290,7.2249,17.1695,15.6762
70,Summer (JJA),N-HiTS,4290,6.0441,13.2824,13.7327
71,Summer (JJA),BiTCN,4290,7.7598,16.5606,17.671
72,Summer (JJA),Chronos-Bolt,4290,7.4999,16.7588,16.7715
73,Summer (JJA),QRF,4290,8.5678,23.6801,17.7636
74,Summer (JJA),Ensemble,4290,6.3178,18.3367,11.1155
75,Summer (JJA),LightGBM,4290,8.408,22.8791,17.4798
76,Summer (JJA),XGBoost,4290,9.1179,23.9586,18.9329
77,Summer (JJA),BiLSTM,4290,4.5625,13.1681,9.6862
78,Fall   (SON),SeasonalNaive,4244,10.0739,15.508,26.7406
79,Fall   (SON),AutoARIMA,4244,8.9479,13.0408,25.1816
80,Fall   (SON),MSTL,4244,10.9615,14.7967,35.892
81,Fall   (SON),PatchTST,4244,5.9442,9.2684,16.3051
82,Fall   (SON),iTransformer,4244,6.2394,9.5198,16.9367
83,Fall   (SON),N-HiTS,4244,6.0876,9.4281,16.5068
84,Fall   (SON),BiTCN,4244,6.4834,9.8504,17.6267
85,Fall   (SON),Chronos-Bolt,4244,6.3834,9.9534,17.3985
86,Fall   (SON),QRF,4244,6.8457,10.8605,18.2222
87,Fall   (SON),Ensemble,4244,5.8766,13.3181,12.7928
88,Fall   (SON),LightGBM,4244,6.9341,10.3367,18.9709
89,Fall   (SON),XGBoost,4244,6.9985,10.726,18.8386
90,Fall   (SON),BiLSTM,4244,4.8686,7.8003,12.7711
