Market,Frequency,Windows_per_Year,MAE,RMSE
PJM,Weekly,52,6.7198549902205045,14.078610952924626
PJM,Monthly,12,6.702641600715574,14.180426598199764
PJM,Quarterly,4,6.717197803369229,14.219292421471778
PJM,Semi-Annual,2,6.742611367694359,14.249541303628678
PJM,Static,0,7.173930326963068,15.095066282506265
ERCOT,Weekly,52,7.542912312286593,21.112831357616553
ERCOT,Monthly,12,7.595708391648619,21.55549902916624
ERCOT,Quarterly,4,7.545814181563582,21.31550704379705
ERCOT,Semi-Annual,2,7.558138295743878,21.295949935944694
ERCOT,Static,0,7.661988940021823,21.379924566272226
