Market,Month,Rolling_PatchTST_MAE,Rolling_PatchTST_RMSE,Static_PatchTST_MAE,Static_PatchTST_RMSE
ERCOT,2024-01,8.4713,15.1929,8.2833,14.9231
ERCOT,2024-02,11.3565,34.0291,11.0145,32.9489
ERCOT,2024-03,3.1647,5.0471,3.3667,5.2206
ERCOT,2024-04,3.7215,6.5894,3.8159,6.3765
ERCOT,2024-05,2.7966,4.7496,2.8166,4.8306
ERCOT,2024-06,3.7101,7.038,3.907,7.0961
ERCOT,2024-07,12.2068,42.0061,12.3754,41.4742
ERCOT,2024-08,15.6361,32.1591,15.4526,31.2548
ERCOT,2024-09,2.8156,4.7594,2.8968,4.7543
ERCOT,2024-10,5.0004,18.1015,4.918,17.838
ERCOT,2024-11,6.4033,14.4643,6.6581,14.9927
ERCOT,2024-12,3.774,7.5974,3.8985,7.5876
ERCOT,2025-01,4.4852,6.8926,4.4442,6.781
ERCOT,2025-02,3.5699,5.9899,3.5038,5.9463
ERCOT,2025-03,5.6389,16.0099,5.6773,16.0334
ERCOT,2025-04,3.6153,5.4153,3.7642,5.4789
ERCOT,2025-05,2.9261,4.3573,3.0253,4.3277
ERCOT,2025-06,3.6214,6.0215,3.7791,6.0884
ERCOT,2025-07,3.585,5.61,3.7651,5.6951
ERCOT,2025-08,4.2355,10.6831,4.1745,10.3766
ERCOT,2025-09,2.1762,3.4314,2.2202,3.3488
ERCOT,2025-10,3.7224,9.4323,3.8267,9.2486
ERCOT,2025-11,4.5199,7.3543,4.4903,7.3301
ERCOT,2025-12,3.9994,6.2928,4.0547,6.3305
