Market,Month,Rolling_PatchTST_MAE,Rolling_PatchTST_RMSE,Static_PatchTST_MAE,Static_PatchTST_RMSE
PJM,2024-01,10.2673,18.5419,10.1384,19.7468
PJM,2024-02,3.3298,4.3234,3.2675,4.4399
PJM,2024-03,4.3041,5.9933,3.935,6.1562
PJM,2024-04,4.2588,5.8401,4.014,5.6972
PJM,2024-05,5.0629,7.3051,4.5124,6.3892
PJM,2024-06,4.3951,7.2469,4.2411,6.8855
PJM,2024-07,6.9204,13.4152,6.523,12.9069
PJM,2024-08,5.9483,11.8426,5.7802,10.9023
PJM,2024-09,4.7929,6.5717,4.7428,6.2278
PJM,2024-10,5.0353,7.486,5.3593,7.7263
PJM,2024-11,4.7408,6.5972,4.5737,6.2964
PJM,2024-12,5.1202,8.6904,6.9406,10.7357
PJM,2025-01,12.8071,24.8659,13.77,27.7698
PJM,2025-02,9.0949,14.5084,8.5331,14.0013
PJM,2025-03,6.3,9.4882,6.3702,9.7959
PJM,2025-04,8.2514,11.4518,9.212,12.2479
PJM,2025-05,5.4409,7.8586,5.4805,7.6403
PJM,2025-06,9.4234,24.0363,7.2214,14.0254
PJM,2025-07,14.1601,34.1009,10.7144,29.0092
PJM,2025-08,6.5997,10.5895,5.8136,9.2021
PJM,2025-09,5.5977,8.7283,5.4112,8.3983
PJM,2025-10,7.1827,12.0944,7.0012,11.7
PJM,2025-11,7.5211,10.8959,8.183,11.4358
PJM,2025-12,8.53,13.0666,8.6607,13.6268
