Market,Month,N_hours,Train_hours,Rolling_LGBM_MAE,Rolling_LGBM_RMSE,Static_LGBM_MAE,Static_LGBM_RMSE,Rolling_XGB_MAE,Rolling_XGB_RMSE,Static_XGB_MAE,Static_XGB_RMSE
ERCOT,2024-01,744,43824,4.4325,10.4991,7.2838,16.3282,5.8331,16.7958,6.2718,13.6668
ERCOT,2024-02,696,44568,7.1523,24.643,8.2356,25.8723,7.3894,22.6431,8.1671,27.6649
ERCOT,2024-03,744,45264,1.7805,3.0382,2.1073,3.6453,2.0935,3.8772,2.332,4.1656
ERCOT,2024-04,720,46008,2.1352,3.9427,2.884,5.6384,2.7216,5.4798,2.8608,5.1738
ERCOT,2024-05,744,46728,1.8714,2.9305,2.0424,3.3851,2.0875,3.6992,2.1548,3.5428
ERCOT,2024-06,720,47472,1.7214,2.8323,2.2154,4.2288,1.9495,3.3833,2.4096,4.3801
ERCOT,2024-07,744,48192,6.5484,23.2017,7.3288,25.18,7.2183,24.7914,7.6506,26.635
ERCOT,2024-08,744,48936,7.73,25.7007,8.1752,24.3436,7.791,24.5955,9.1738,29.7168
ERCOT,2024-09,720,49680,1.0276,1.7956,1.2768,2.1657,1.2285,2.1552,1.2961,2.1808
ERCOT,2024-10,744,50400,2.0178,6.4837,2.8905,8.3382,2.4316,8.8276,2.7857,8.6837
ERCOT,2024-11,720,51144,2.2485,6.1294,3.0114,6.7706,3.3707,11.4761,2.7576,6.7549
ERCOT,2024-12,744,51864,1.6048,3.4483,2.0757,4.9381,1.7399,3.8467,2.3296,5.3773
ERCOT,2025-01,744,52608,2.1537,3.789,3.6765,7.4845,2.1783,3.8085,3.3749,7.4179
ERCOT,2025-02,672,53352,1.7584,3.4144,2.5701,5.4483,1.7938,3.4733,2.6881,6.4538
ERCOT,2025-03,744,54024,2.9002,8.0,3.673,9.1061,3.0368,9.541,3.8836,11.486
ERCOT,2025-04,720,54768,1.7915,2.8016,2.5097,3.5653,1.8285,2.8604,2.4583,3.916
ERCOT,2025-05,744,55488,1.3847,2.1628,1.9779,2.8474,1.4473,2.2724,2.0005,2.8839
ERCOT,2025-06,720,56232,1.4241,2.4652,2.0988,3.6331,1.4926,2.6222,2.2227,3.942
ERCOT,2025-07,744,56952,1.5174,2.4863,2.2966,3.3553,1.6425,2.7622,2.3065,3.7928
ERCOT,2025-08,744,57696,1.7289,3.5123,2.7379,6.2648,2.0349,4.8915,3.0568,6.5793
ERCOT,2025-09,720,58440,1.1011,1.7577,1.4588,2.1278,1.2027,1.9751,1.5592,2.3695
ERCOT,2025-10,744,59160,1.8798,3.8494,2.7286,5.5051,2.1127,4.6209,3.0601,6.7194
ERCOT,2025-11,720,59904,2.3197,3.923,3.3373,5.5468,2.3283,4.1315,3.4199,5.8352
ERCOT,2025-12,721,60624,1.8004,3.2072,2.6815,4.4608,1.8292,3.2195,2.6395,4.5177
