Market,Month,N_hours,Train_hours,Rolling_LGBM_MAE,Rolling_LGBM_RMSE,Static_LGBM_MAE,Static_LGBM_RMSE,Rolling_XGB_MAE,Rolling_XGB_RMSE,Static_XGB_MAE,Static_XGB_RMSE
PJM,2024-01,723,42564,10.002,20.9141,11.3245,21.8245,10.4761,22.0273,12.3434,24.1264
PJM,2024-02,675,43287,3.3199,4.1765,3.2855,4.1986,3.3349,4.2214,3.2515,4.1555
PJM,2024-03,722,43962,4.1996,5.8336,4.309,6.0198,4.2638,5.8748,4.2724,5.9785
PJM,2024-04,699,44684,4.0125,5.386,4.2739,5.7883,3.9466,5.2816,4.265,5.7089
PJM,2024-05,723,45383,4.567,6.473,5.1559,7.3119,4.5184,6.4022,5.1537,7.4532
PJM,2024-06,699,46106,4.0458,6.0503,4.4636,7.0764,4.1807,6.4691,4.9664,8.1231
PJM,2024-07,723,46805,6.3381,12.9552,7.8802,15.6886,6.6689,13.882,9.0356,17.524
PJM,2024-08,723,47528,5.1696,10.3683,5.5802,11.2133,5.2671,10.5314,6.2688,12.7665
PJM,2024-09,699,48251,4.3108,5.9002,4.9476,6.6106,4.2343,5.7502,4.7571,6.5205
PJM,2024-10,723,48950,4.9242,7.5797,5.9302,8.8435,5.2152,8.0528,5.8658,9.0221
PJM,2024-11,700,49673,4.4721,5.9934,5.0759,6.8293,4.5665,6.134,4.9741,6.668
PJM,2024-12,723,50373,5.5204,8.9391,5.7325,9.6573,5.5676,9.0057,5.722,9.696
PJM,2025-01,723,51096,12.625,26.7588,18.5154,41.3227,13.7102,30.3262,18.0942,40.3906
PJM,2025-02,651,51819,7.8063,12.9606,8.844,14.5779,7.8355,12.9869,8.3613,13.2881
PJM,2025-03,722,52470,6.1605,9.4632,6.5117,9.6518,6.2604,9.5874,6.4786,9.8003
PJM,2025-04,699,53192,7.7967,11.1511,7.7795,11.0685,7.6648,11.101,8.0332,11.4997
PJM,2025-05,723,53891,4.9551,7.1626,5.2777,7.7176,5.0111,7.2419,5.3008,7.8676
PJM,2025-06,699,54614,9.8194,26.7771,11.7095,32.4862,9.8532,27.6213,12.3902,34.0898
PJM,2025-07,723,55313,12.1646,33.8854,15.663,39.9945,12.3377,34.1919,16.4977,40.8885
PJM,2025-08,723,56036,4.4901,6.5579,5.1303,8.1128,4.4101,6.4259,5.5195,8.7582
PJM,2025-09,699,56759,6.4881,9.7917,7.474,11.158,6.4447,9.7085,7.9356,11.9804
PJM,2025-10,723,57458,9.123,13.6553,9.1625,14.0716,8.8721,13.6914,9.6525,15.0813
PJM,2025-11,700,58181,8.5742,12.0887,8.9723,12.1618,8.1962,11.7543,8.7537,12.1767
PJM,2025-12,716,58881,9.7532,15.2344,11.7397,18.8496,9.7972,15.5999,11.4022,18.8122
